	Location	Link	Job Description	Experience	Skills	Organization
0	Bengaluru	https://www.naukri.com/job-listings-Senior-Lead-Artificial-Intelligence-machine-Learning-CenturyLink-Technologies-India-Pvt-Ltd-Bengaluru-12-to-16-years-040918004955?src=nfl&sid=15361454729419&xp=1&px=1	 Deep Learning, Machine Learning, Data Mining, NLP, Data Science... 	12-16 yrs	Deep Learning, Machine Learning, Data Mining, NLP, Data Science...	CenturyLink Technologies India Pvt Ltd
1	Mumbai, Mumbai Suburbs	https://www.naukri.com/job-listings-Machine-Learning-nlp-Experts-location-Chakala-Andheri-East-mumbai-Taglr-Technologies-Private-Limited-Mumbai-Mumbai-Suburbs-4-to-9-years-050918002270?src=jobsearchDesk&sid=15361454729419&xp=2&px=1	 Deep Learning, Computer Vision, Image Processing, Machine Learning... 	4-9 yrs	Deep Learning, Computer Vision, Image Processing, Machine Learning...	Taglr Technologies Private Limited
2	Pune	https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-Volkswagen-IT-Services-India-Pvt-Ltd-Pune-3-to-8-years-310818003717?src=jobsearchDesk&sid=15361454729419&xp=3&px=1	- 3-5 yrs of experience with ML tools and libraries such as Scikit-learn, Python, Spark,OpenCV, R, ...	3-8 yrs	machine learning, natural language processing, deep learning	Volkswagen IT Services India Pvt. Ltd
3	Bengaluru	https://www.naukri.com/job-listings-Team-Lead-Artificial-Intelligence-machine-Learning-Axcelovate-Bengaluru-5-to-10-years-030918901156?src=jobsearchDesk&sid=15361454729419&xp=4&px=1	 machine learning, natural language processing, deep learning 	5-10 yrs	Machine Learning, NLP, Artificial Intelligence, R, Algorithms, Team Leading...	Axcelovate
4	Mumbai, Pune	https://www.naukri.com/job-listings-Senior-Analyst-Spss-R-Machine-Learning-Vodafone-India-Limited-Mumbai-Pune-3-to-8-years-310818900186?src=jobsearchDesk&sid=15361454729419&xp=5&px=1	Following qualifications and competencies are required:;Practical experience in finance, procurement, ...	3-8 yrs	Analytics, SPSS, Analytical, Automation, Machine learning...	Vodafone India Limited
5	Mumbai	https://www.naukri.com/job-listings-Analytics-Quantitative-Manager-Machine-Learning-Silverpeople-Mumbai-5-to-9-years-030918901227?src=jobsearchDesk&sid=15361454729419&xp=6&px=1	 Machine Learning, NLP, Artificial Intelligence, R, Algorithms, Team Leading... 	5-9 yrs	Market Risk, Credit Risk, Finance, Structured Products, Derivatives...	Silverpeople
6	Bengaluru	https://www.naukri.com/job-listings-Machine-Learning-Engineer-Python-Catalyst-Bengaluru-2-to-7-years-030918900782?src=jobsearchDesk&sid=15361454729419&xp=7&px=1	- 5-8 years of relevant work experience;- Good verbal and written communication ...	2-7 yrs	Data Science, Machine Learning, Python, Predictive Maintenance, Analytics...	Catalyst
7	Bengaluru	https://www.naukri.com/job-listings-Machine-Learning-Accenture-Bengaluru-3-to-8-years-030918901728?src=jobsearchDesk&sid=15361454729419&xp=8&px=1	 Analytics, SPSS, Analytical, Automation, Machine learning... 	3-8 yrs	Python, Data mining, Machine learning, Business process, Outsourcing...	Accenture
8	Mumbai	https://www.naukri.com/job-listings-Machine-Learning-Accenture-Mumbai-2-to-6-years-030918901697?src=jobsearchDesk&sid=15361454729419&xp=9&px=1	The primary purpose of this role is to deliver analytical /  decision services to Vodafone s businesses ...	2-6 yrs	Python, Data mining, Machine learning, Business process, Outsourcing...	Accenture
9	Bengaluru	https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-data-Mining-Anzy-Careers-Bengaluru-8-to-13-years-030918900215?src=jobsearchDesk&sid=15361454729419&xp=10&px=1	 Market Risk, Credit Risk, Finance, Structured Products, Derivatives... 	8-13 yrs	Deep Learning, Natural Language Processing, Information Retrieval...	Anzy Careers
